 | Left Back: 16.99565 | Left Front: 17.54445 | Front Left: 100.2589 | Front Right: 1026.29 | Right Front: 118.0606 | Straight 2
 | Left Back: 16.89275 | Left Front: 17.54445 | Front Left: 101.2021 | Front Right: 452.8286 | Right Front: 56.9037 | Straight 2
 | Left Back: 16.61835 | Left Front: 18.2133 | Front Left: 98.6125 | Front Right: 1026.256 | Right Front: 120.6502 | Straight 2
 | Left Back: 17.5959 | Left Front: 18.33335 | Front Left: 94.44505 | Front Right: 1026.239 | Right Front: 104.958 | Straight 2
 | Left Back: 18.2476 | Left Front: 18.23045 | Front Left: 87.85945 | Front Right: 1026.273 | Right Front: 58.67015 | Straight 2
 | Left Back: 17.30435 | Left Front: 18.1447 | Front Left: 70.76089 | Front Right: 1026.239 | Right Front: 58.67015 | Straight 2
 | Left Back: 18.8993 | Left Front: 18.71065 | Front Left: 106.33 | Front Right: 1026.427 | Right Front: 183.8995 | Straight 2
 | Left Back: 19.4481 | Left Front: 19.0708 | Front Left: 130.34 | Front Right: 1026.307 | Right Front: 73.98511 | Straight 2
 | Left Back: 20.45995 | Left Front: 19.1394 | Front Left: 63.78085 | Front Right: 1026.084 | Right Front: 500.9001 | Straight 2
 | Left Back: 20.4771 | Left Front: 18.6592 | Front Left: 79.04435 | Front Right: 97.46345 | Right Front: 62.2888 | Straight 2
 | Left Back: 19.46525 | Left Front: 18.53915 | Front Left: 103.4145 | Front Right: 82.32 | Right Front: 149.2736 | Straight 2
 | Left Back: 20.4771 | Left Front: 17.57875 | Front Left: 99.5043 | Front Right: 69.85195 | Right Front: 298.4271 | Straight 2
 | Left Back: 18.88215 | Left Front: 16.85845 | Front Left: 63.2835 | Front Right: 1026.239 | Right Front: 1209.298 | Straight 2
 | Left Back: 18.8993 | Left Front: 15.778 | Front Left: 57.43535 | Front Right: 1026.119 | Right Front: 108.4394 | Straight 2
 | Left Back: 17.54445 | Left Front: 15.5379 | Front Left: 69.04591 | Front Right: 1026.273 | Right Front: 129.3282 | Straight 2
 | Left Back: 16.2925 | Left Front: 15.4007 | Front Left: 58.36145 | Front Right: 1026.205 | Right Front: 70.41791 | Straight 2
 | Left Back: 15.96665 | Left Front: 14.3374 | Front Left: 81.4968 | Front Right: 247.2859 | Right Front: 102.0425 | Straight 2
 | Left Back: 15.2292 | Left Front: 14.52605 | Front Left: 61.4656 | Front Right: 247.9719 | Right Front: 57.1438 | Straight 2
 | Left Back: 16.10385 | Left Front: 14.62895 | Front Left: 110.223 | Front Right: 180.0921 | Right Front: 177.331 | Straight 2
 | Left Back: 16.00095 | Left Front: 14.2345 | Front Left: 59.21895 | Front Right: 220.9949 | Right Front: 74.6711 | Straight 2
 | Left Back: 15.3321 | Left Front: 14.59465 | Front Left: 155.5333 | Front Right: 104.5121 | Right Front: 71.56696 | Straight 2
 | Left Back: 15.76085 | Left Front: 14.08015 | Front Left: 102.4198 | Front Right: 144.6945 | Right Front: 69.8348 | Straight 2
 | Left Back: 14.25165 | Left Front: 14.2688 | Front Left: 159.7694 | Front Right: 70.9324 | Right Front: 51.94735 | Straight 2
 | Left Back: 14.97195 | Left Front: 14.4746 | Front Left: 56.88655 | Front Right: 166.9895 | Right Front: 40.8856 | Straight 2
 | Left Back: 15.31495 | Left Front: 15.17775 | Front Left: 63.2835 | Front Right: 136.5826 | Right Front: 175.3073 | Straight 2
 | Left Back: 13.8229 | Left Front: 15.778 | Front Left: 64.80984 | Front Right: 115.4881 | Right Front: 282.975 | Straight 2
 | Left Back: 15.2978 | Left Front: 16.61835 | Front Left: 61.00255 | Front Right: 105.4211 | Right Front: 596.8199 | Straight 2
 | Left Back: 15.69225 | Left Front: 17.33865 | Front Left: 143.2025 | Front Right: 182.2702 | Right Front: 491.5705 | Straight 2
 | Left Back: 25.8622 | Left Front: 24.98755 | Front Left: 3.9788 | Front Right: 4.2532 | Right Front: 155.3104 | Back 1
 | Left Back: 27.3714 | Left Front: 25.29625 | Front Left: 5.2822 | Front Right: 4.3561 | Right Front: 1209.195 | Back 1
 | Left Back: 28.2975 | Left Front: 25.5192 | Front Left: 8.6093 | Front Right: 7.59745 | Right Front: 491.1074 | Back 1
 | Left Back: 29.10355 | Left Front: 25.5192 | Front Left: 12.02215 | Front Right: 9.7755 | Right Front: 490.9531 | Move Right 1
 | Left Back: 28.3318 | Left Front: 26.08515 | Front Left: 14.52605 | Front Right: 11.8678 | Right Front: 58.0013 | Move Right 1
 | Left Back: 30.3898 | Left Front: 29.1207 | Front Left: 15.52075 | Front Right: 12.84535 | Right Front: 57.967 | Move Right 1
 | Left Back: 36.47805 | Left Front: 33.0652 | Front Left: 16.2582 | Front Right: 12.15935 | Right Front: 57.77835 | Clockwise 1
 | Left Back: 41.55445 | Left Front: 38.4503 | Front Left: 15.9495 | Front Right: 11.9021 | Right Front: 66.4048 | Clockwise 1
 | Left Back: 44.7272 | Left Front: 42.44625 | Front Left: 16.24105 | Front Right: 12.1765 | Right Front: 1209.195 | Clockwise 1
 | Left Back: 49.34055 | Left Front: 49.8722 | Front Left: 13.08545 | Front Right: 14.38885 | Right Front: 465.4682 | Move Right 1
 | Left Back: 49.9065 | Left Front: 53.69665 | Front Left: 12.4852 | Front Right: 16.5326 | Right Front: 9.947 | Anti Clockwise 1
 | Left Back: 53.508 | Left Front: 58.67015 | Front Left: 10.9074 | Front Right: 16.9099 | Right Front: 456.1385 | Anti Clockwise 1
 | Left Back: 56.02905 | Left Front: 60.14505 | Front Left: 12.348 | Front Right: 15.48645 | Right Front: 454.5779 | Anti Clockwise 1
 | Left Back: 57.624 | Left Front: 59.73345 | Front Left: 14.406 | Front Right: 14.2002 | Right Front: 455.9842 | Move Right 1
 | Left Back: 60.4023 | Left Front: 59.6134 | Front Left: 14.4403 | Front Right: 12.1765 | Right Front: 57.67545 | Move Right 1
 | Left Back: 63.5922 | Left Front: 61.86005 | Front Left: 15.17775 | Front Right: 11.13035 | Right Front: 43.20085 | Clockwise 1
 | Left Back: 67.93115 | Left Front: 66.0275 | Front Left: 16.2239 | Front Right: 10.4958 | Right Front: 448.0094 | Clockwise 1
 | Left Back: 71.36115 | Left Front: 69.4918 | Front Left: 14.5775 | Front Right: 11.0789 | Right Front: 442.5558 | Clockwise 1
 | Left Back: 72.2701 | Left Front: 73.1276 | Front Left: 13.49705 | Front Right: 12.43375 | Right Front: 439.2801 | Move Right 1
 | Left Back: 72.9218 | Left Front: 75.46 | Front Left: 11.2504 | Front Right: 14.38885 | Right Front: 57.84695 | Anti Clockwise 1
 | Left Back: 75.06555 | Left Front: 79.69604 | Front Left: 10.976 | Front Right: 15.1949 | Right Front: 434.0836 | Anti Clockwise 1
 | Left Back: 77.4837 | Left Front: 81.68545 | Front Left: 11.30185 | Front Right: 14.7147 | Right Front: 434.0493 | Anti Clockwise 1
 | Left Back: 80.7422 | Left Front: 80.89655 | Front Left: 14.2002 | Front Right: 12.4852 | Right Front: 433.2261 | Move Right 1
 | Left Back: 83.05745 | Left Front: 82.2171 | Front Left: 15.52075 | Front Right: 10.5987 | Right Front: 50.4896 | Clockwise 1
 | Left Back: 93.1588 | Left Front: 89.84885 | Front Left: 15.6408 | Front Right: 8.575 | Right Front: 72.66455 | Clockwise 1
 | Left Back: 95.9714 | Left Front: 78.5813 | Front Left: 13.77145 | Front Right: 9.17525 | Right Front: 420.295 | Clockwise 1
 | Left Back: 96.94895 | Left Front: 97.9951 | Front Left: 9.92985 | Front Right: 11.91925 | Right Front: 414.4469 | Move Right 1
 | Left Back: 96.94895 | Left Front: 101.6824 | Front Left: 8.79795 | Front Right: 14.5432 | Right Front: 44.71005 | Anti Clockwise 1
 | Left Back: 98.9898 | Left Front: 82.2857 | Front Left: 7.8204 | Front Right: 15.3664 | Right Front: 407.5526 | Anti Clockwise 1
 | Left Back: 101.9911 | Left Front: 106.107 | Front Left: 9.2267 | Front Right: 14.04585 | Right Front: 406.2663 | Anti Clockwise 1
 | Left Back: 104.9237 | Left Front: 106.6902 | Front Left: 9.82695 | Front Right: 12.02215 | Right Front: 405.649 | Move Right 1
 | Left Back: 107.7706 | Left Front: 106.6387 | Front Left: 12.3823 | Front Right: 10.10135 | Right Front: 58.8588 | Move Right 1
 | Left Back: 95.19965 | Left Front: 89.09425 | Front Left: 13.08545 | Front Right: 8.6093 | Right Front: 46.3736 | Clockwise 1
 | Left Back: 116.4485 | Left Front: 113.7045 | Front Left: 14.063 | Front Right: 8.59215 | Right Front: 399.1834 | Clockwise 1
 | Left Back: 120.3416 | Left Front: 117.8891 | Front Left: 12.05645 | Front Right: 9.44965 | Right Front: 394.107 | Move Right 1
 | Left Back: 110.7032 | Left Front: 122.0737 | Front Left: 10.2557 | Front Right: 11.1818 | Right Front: 41.96605 | Move Right 1
 | Left Back: 127.0986 | Left Front: 129.1223 | Front Left: 9.65545 | Front Right: 12.29655 | Right Front: 51.4157 | Move Right 1
 | Left Back: 132.1236 | Left Front: 135.7079 | Front Left: 8.83225 | Front Right: 12.8282 | Right Front: 48.6717 | Anti Clockwise 1
 | Left Back: 138.006 | Left Front: 142.1049 | Front Left: 9.82695 | Front Right: 12.81105 | Right Front: 370.44 | Move Right 1
 | Left Back: 63.455 | Left Front: 50.6268 | Front Left: 10.5987 | Front Right: 12.1422 | Right Front: 41.21145 | Move Right 1
 | Left Back: 72.2358 | Left Front: 48.41445 | Front Left: 12.4166 | Front Right: 11.71345 | Right Front: 47.62555 | Move Right 1
 | Left Back: 65.4444 | Left Front: 60.8482 | Front Left: 13.84005 | Front Right: 11.2847 | Right Front: 47.7113 | Move Right 1
 | Left Back: 58.77305 | Left Front: 76.60905 | Front Left: 14.42315 | Front Right: 11.0446 | Right Front: 42.58345 | Clockwise 1
 | Left Back: 180.4008 | Left Front: 180.4866 | Front Left: 13.5142 | Front Right: 10.85595 | Right Front: 56.74935 | Move Right 1
 | Left Back: 163.388 | Left Front: 188.993 | Front Left: 12.39945 | Front Right: 11.2161 | Right Front: 57.8984 | Move Right 1
 | Left Back: 199.6432 | Left Front: 200.1405 | Front Left: 12.36515 | Front Right: 11.3533 | Right Front: 57.5554 | Move Right 1
 | Left Back: 209.0414 | Left Front: 145.3805 | Front Left: 11.74775 | Front Right: 11.2504 | Right Front: 22.5694 | Move Right 1
 | Left Back: 57.281 | Left Front: 124.0802 | Front Left: 12.005 | Front Right: 11.19895 | Right Front: 57.8298 | Move Right 1
 | Left Back: 56.95515 | Left Front: 135.8795 | Front Left: 12.348 | Front Right: 11.16465 | Right Front: 59.4419 | Move Right 1
 | Left Back: 59.3047 | Left Front: 152.5493 | Front Left: 11.30185 | Front Right: 11.3533 | Right Front: 47.93425 | Move Right 1
 | Left Back: 195.51 | Left Front: 261.1259 | Front Left: 11.7306 | Front Right: 11.61055 | Right Front: 56.7322 | Move Right 1
 | Left Back: 132.1579 | Left Front: 276.5094 | Front Left: 11.67915 | Front Right: 11.9364 | Right Front: 51.84445 | Move Right 1
 | Left Back: 87.17345 | Left Front: 168.0357 | Front Left: 11.02745 | Front Right: 12.36515 | Right Front: 49.2205 | Move Right 1
 | Left Back: 59.9564 | Left Front: 213.2431 | Front Left: 11.67915 | Front Right: 16.41255 | Right Front: 41.24575 | Anti Clockwise 1
 | Left Back: 270.7642 | Left Front: 331.0293 | Front Left: 12.36515 | Front Right: 1026.153 | Right Front: 61.34555 | Moving right 6
 | Left Back: 1209.83 | Left Front: 358.778 | Front Left: 16.1553 | Front Right: 1025.93 | Right Front: 58.70445 | Moving right 6
 | Left Back: 1209.898 | Left Front: 1018.95 | Front Left: 1209.778 | Front Right: 1025.999 | Right Front: 127.819 | Stop 3 | forward_c: 1
 | Left Back: 17.9389 | Left Front: 19.63675 | Front Left: 1209.967 | Front Right: 1026.119 | Right Front: 76.3518 | Straight 2
 | Left Back: 17.5273 | Left Front: 19.4824 | Front Left: 97.6178 | Front Right: 1026.136 | Right Front: 116.9801 | Straight 2
 | Left Back: 18.91645 | Left Front: 20.25415 | Front Left: 271.1415 | Front Right: 1026.102 | Right Front: 57.84695 | Straight 2
 | Left Back: 18.6592 | Left Front: 20.73435 | Front Left: 90.02036 | Front Right: 1026.119 | Right Front: 81.39391 | Straight 2
 | Left Back: 20.11695 | Left Front: 21.76335 | Front Left: 94.47935 | Front Right: 1026.119 | Right Front: 130.4944 | Straight 2
 | Left Back: 22.0549 | Left Front: 23.10105 | Front Left: 57.5554 | Front Right: 1026.17 | Right Front: 140.4242 | Straight 2
 | Left Back: 22.72375 | Left Front: 23.58125 | Front Left: 80.14195 | Front Right: 1026.067 | Right Front: 900.0148 | Straight 2
 | Left Back: 24.0786 | Left Front: 23.9071 | Front Left: 97.56635 | Front Right: 1026.084 | Right Front: 57.1095 | Straight 2
 | Left Back: 25.29625 | Left Front: 23.667 | Front Left: 73.48775 | Front Right: 171.6372 | Right Front: 80.2963 | Straight 2
 | Left Back: 23.5298 | Left Front: 22.8095 | Front Left: 54.51985 | Front Right: 1026.136 | Right Front: 98.3381 | Straight 2
 | Left Back: 23.4269 | Left Front: 21.8834 | Front Left: 103.1058 | Front Right: 1026.016 | Right Front: 36.30655 | Straight 2
 | Left Back: 22.96385 | Left Front: 24.85035 | Front Left: 162.5134 | Front Right: 654.3754 | Right Front: 25.60495 | Straight 2
 | Left Back: 22.9467 | Left Front: 22.7066 | Front Left: 65.73595 | Front Right: 273.371 | Right Front: 57.6926 | Straight 2
 | Left Back: 23.88995 | Left Front: 23.1182 | Front Left: 61.6028 | Front Right: 257.5759 | Right Front: 92.5757 | Straight 2
 | Left Back: 24.4559 | Left Front: 24.0786 | Front Left: 62.06585 | Front Right: 232.7255 | Right Front: 73.59064 | Straight 2
 | Left Back: 23.8385 | Left Front: 24.4216 | Front Left: 65.29005 | Front Right: 218.5424 | Right Front: 100.0016 | Straight 2
 | Left Back: 24.81605 | Left Front: 25.3477 | Front Left: 68.2913 | Front Right: 202.6444 | Right Front: 125.2464 | Straight 2
 | Left Back: 25.2791 | Left Front: 23.5641 | Front Left: 155.2932 | Front Right: 97.8236 | Right Front: 49.8379 | Straight 2
 | Left Back: 25.8279 | Left Front: 22.44935 | Front Left: 111.2864 | Front Right: 130.4944 | Right Front: 53.79955 | Straight 2
 | Left Back: 25.67355 | Left Front: 21.7805 | Front Left: 273.6626 | Front Right: 267.0941 | Right Front: 46.1335 | Straight 2
 | Left Back: 25.8965 | Left Front: 20.45995 | Front Left: 88.2196 | Front Right: 138.7435 | Right Front: 107.136 | Clockwise 2
 | Left Back: 23.2211 | Left Front: 20.42565 | Front Left: 146.6839 | Front Right: 71.32685 | Right Front: 924.042 | Straight 2
 | Left Back: 20.45995 | Left Front: 19.91115 | Front Left: 237.3046 | Front Right: 235.0751 | Right Front: 249.2066 | Straight 2
 | Left Back: 19.63675 | Left Front: 20.63145 | Front Left: 170.4367 | Front Right: 225.694 | Right Front: 57.3153 | Straight 2
 | Left Back: 19.87685 | Left Front: 21.1288 | Front Left: 211.6653 | Front Right: 214.375 | Right Front: 228.2322 | Straight 2
 | Left Back: 18.91645 | Left Front: 21.90055 | Front Left: 187.8268 | Front Right: 200.6893 | Right Front: 60.7453 | Straight 2
 | Left Back: 20.8544 | Left Front: 23.1525 | Front Left: 61.4313 | Front Right: 90.4491 | Right Front: 108.3537 | Straight 2
 | Left Back: 20.80295 | Left Front: 24.7303 | Front Left: 170.248 | Front Right: 172.9921 | Right Front: 491.6733 | Straight 2
 | Left Back: 21.7119 | Left Front: 26.0337 | Front Left: 58.1042 | Front Right: 67.0222 | Right Front: 126.7556 | Anti Clockwise 2
 | Left Back: 24.1815 | Left Front: 27.2685 | Front Left: 136.8227 | Front Right: 139.944 | Right Front: 1209.367 | Diagonal Front Left 2
 | Left Back: 30.184 | Left Front: 26.56535 | Front Left: 127.4588 | Front Right: 89.6259 | Right Front: 488.0718 | Diagonal Front Left 2
 | Left Back: 29.9782 | Left Front: 25.7593 | Front Left: 123.4972 | Front Right: 117.6319 | Right Front: 1209.367 | Clockwise 2
 | Left Back: 30.184 | Left Front: 24.40445 | Front Left: 117.649 | Front Right: 110.1888 | Right Front: 1209.144 | Clockwise 2
 | Left Back: 27.62865 | Left Front: 24.19865 | Front Left: 112.3839 | Front Right: 108.9196 | Right Front: 1209.195 | Diagonal Front Left 2
 | Left Back: 25.2105 | Left Front: 25.4849 | Front Left: 108.0793 | Front Right: 110.5832 | Right Front: 1209.178 | Straight 2
 | Left Back: 22.4322 | Left Front: 24.7989 | Front Left: 104.7522 | Front Right: 109.6742 | Right Front: 1209.041 | Straight 2
 | Left Back: 22.0206 | Left Front: 24.88465 | Front Left: 100.8077 | Front Right: 105.1466 | Right Front: 490.5586 | Straight 2
 | Left Back: 22.3979 | Left Front: 25.26195 | Front Left: 97.5492 | Front Right: 101.3908 | Right Front: 1209.281 | Straight 2
 | Left Back: 23.34115 | Left Front: 25.94795 | Front Left: 91.581 | Front Right: 95.9028 | Right Front: 1209.264 | Straight 2
 | Left Back: 26.1709 | Left Front: 26.05085 | Front Left: 85.38985 | Front Right: 89.5916 | Right Front: 1209.229 | Straight 2
 | Left Back: 24.1472 | Left Front: 27.01125 | Front Left: 78.3755 | Front Right: 82.4229 | Right Front: 1209.315 | Diagonal Front Left 2
 | Left Back: 24.7303 | Left Front: 27.0284 | Front Left: 71.03529 | Front Right: 75.3571 | Right Front: 490.6443 | Diagonal Front Left 2
 | Left Back: 24.1472 | Left Front: 26.9598 | Front Left: 64.6555 | Front Right: 68.8401 | Right Front: 488.209 | Straight 2
 | Left Back: 24.71315 | Left Front: 26.2738 | Front Left: 61.6714 | Front Right: 66.2676 | Right Front: 1209.281 | Straight 2
 | Left Back: 47.52265 | Left Front: 26.80545 | Front Left: 54.0911 | Front Right: 57.67545 | Right Front: 488.9637 | Stop - Confused 7 | garbage_c: 1
 | Left Back: 25.60495 | Left Front: 26.70255 | Front Left: 50.2838 | Front Right: 53.508 | Right Front: 1209.161 | Straight 2
 | Left Back: 26.7883 | Left Front: 27.04555 | Front Left: 45.9277 | Front Right: 48.86035 | Right Front: 488.775 | Diagonal Front Left 2
 | Left Back: 25.2448 | Left Front: 27.1313 | Front Left: 44.26415 | Front Right: 45.6876 | Right Front: 1209.092 | Diagonal Front Left 2
 | Left Back: 25.63925 | Left Front: 26.80545 | Front Left: 38.39885 | Front Right: 41.7774 | Right Front: 1209.281 | Anti Clockwise 1
 | Left Back: 25.5192 | Left Front: 25.9651 | Front Left: 36.37515 | Front Right: 37.78145 | Right Front: 489.9926 | Front 1
 | Left Back: 25.60495 | Left Front: 25.1076 | Front Left: 34.52295 | Front Right: 35.329 | Right Front: 491.4676 | Front 1
 | Left Back: 25.29625 | Left Front: 25.09045 | Front Left: 32.70505 | Front Right: 33.04805 | Right Front: 491.6562 | Front 1
 | Left Back: 25.87935 | Left Front: 24.98755 | Front Left: 30.9386 | Front Right: 30.61275 | Right Front: 489.8555 | Front 1
 | Left Back: 26.73685 | Left Front: 24.9361 | Front Left: 29.92675 | Front Right: 28.79485 | Right Front: 488.5178 | Front 1
 | Left Back: 26.7883 | Left Front: 25.50205 | Front Left: 27.6115 | Front Right: 26.9255 | Right Front: 491.0045 | Front 1
 | Left Back: 27.6458 | Left Front: 25.0047 | Front Left: 26.15375 | Front Right: 25.1419 | Right Front: 1209.195 | Front 1
 | Left Back: 29.41225 | Left Front: 25.02185 | Front Left: 23.2554 | Front Right: 22.79235 | Right Front: 492.6852 | Front 1
 | Left Back: 26.5139 | Left Front: 25.039 | Front Left: 20.9916 | Front Right: 20.59715 | Right Front: 489.7354 | Front 1
 | Left Back: 26.46245 | Left Front: 25.039 | Front Left: 20.76865 | Front Right: 18.84785 | Right Front: 489.0494 | Front 1
 | Left Back: 25.6221 | Left Front: 25.36485 | Front Left: 17.16715 | Front Right: 16.6355 | Right Front: 491.0902 | Move Right 1
 | Left Back: 28.76055 | Left Front: 25.2448 | Front Left: 15.5379 | Front Right: 14.5775 | Right Front: 63.5579 | Move Right 1
 | Left Back: 28.2289 | Left Front: 26.90835 | Front Left: 15.17775 | Front Right: 14.32025 | Right Front: 52.42755 | Move Right 1
 | Left Back: 31.556 | Left Front: 30.2183 | Front Left: 15.14345 | Front Right: 13.25695 | Right Front: 51.2785 | Move Right 1
 | Left Back: 35.55195 | Left Front: 34.93455 | Front Left: 14.86905 | Front Right: 13.05115 | Right Front: 59.2361 | Move Right 1
 | Left Back: 40.62835 | Left Front: 41.16 | Front Left: 13.77145 | Front Right: 13.3427 | Right Front: 37.7643 | Move Right 1
 | Left Back: 49.10045 | Left Front: 48.9461 | Front Left: 14.18305 | Front Right: 13.08545 | Right Front: 34.5744 | Move Right 1
 | Left Back: 56.74935 | Left Front: 57.5554 | Front Left: 14.2002 | Front Right: 13.1369 | Right Front: 37.5928 | Move Right 1
 | Left Back: 66.45625 | Left Front: 68.72005 | Front Left: 14.21735 | Front Right: 13.25695 | Right Front: 41.48585 | Move Right 1
 | Left Back: 78.7528 | Left Front: 80.1591 | Front Left: 14.21735 | Front Right: 14.3031 | Right Front: 51.43285 | Move Right 1
 | Left Back: 91.6496 | Left Front: 93.45036 | Front Left: 14.1316 | Front Right: 14.42315 | Right Front: 57.12665 | Move Right 1
 | Left Back: 107.359 | Left Front: 109.3484 | Front Left: 13.70285 | Front Right: 15.6408 | Right Front: 37.9701 | Move Right 1
 | Left Back: 115.1451 | Left Front: 97.4463 | Front Left: 14.406 | Front Right: 15.9495 | Right Front: 56.9723 | Move Right 1
 | Left Back: 61.92865 | Left Front: 145.2262 | Front Left: 15.86375 | Front Right: 17.3901 | Right Front: 55.20585 | Move Right 1
 | Left Back: 57.6583 | Left Front: 67.72535 | Front Left: 16.2239 | Front Right: 18.5906 | Right Front: 43.2523 | Move Right 1
 | Left Back: 66.45625 | Left Front: 96.7946 | Front Left: 17.8703 | Front Right: 21.4718 | Right Front: 51.1756 | Anti Clockwise 1
 | Left Back: 211.4767 | Left Front: 161.9818 | Front Left: 19.7568 | Front Right: 22.44935 | Right Front: 50.26665 | Front 1
 | Left Back: 225.3853 | Left Front: 228.6609 | Front Left: 21.952 | Front Right: 22.55225 | Right Front: 281.0885 | Front 1
 | Left Back: 240.4773 | Left Front: 243.1184 | Front Left: 21.35175 | Front Right: 21.24885 | Right Front: 268.226 | Front 1
 | Left Back: 251.6934 | Left Front: 252.0021 | Front Left: 21.66045 | Front Right: 20.3056 | Right Front: 56.8694 | Front 1
 | Left Back: 258.279 | Left Front: 257.9017 | Front Left: 21.07735 | Front Right: 18.50485 | Right Front: 254.6089 | Front 1
 | Left Back: 264.23 | Left Front: 261.3488 | Front Left: 19.73965 | Front Right: 16.34395 | Right Front: 250.5272 | Clockwise 1
 | Left Back: 266.4596 | Left Front: 263.99 | Front Left: 18.1104 | Front Right: 15.1606 | Right Front: 248.7608 | Move Right 1
 | Left Back: 197.6537 | Left Front: 265.9279 | Front Left: 16.27535 | Front Right: 15.76085 | Right Front: 68.30845 | Move Right 1
 | Left Back: 270.9014 | Left Front: 273.1995 | Front Left: 14.8176 | Front Right: 15.778 | Right Front: 37.09545 | Move Right 1
 | Left Back: 226.3285 | Left Front: 278.2073 | Front Left: 15.17775 | Front Right: 15.778 | Right Front: 1.86935 | Move Right 1
 | Left Back: 220.4976 | Left Front: 287.5883 | Front Left: 15.5379 | Front Right: 15.93235 | Right Front: 52.4104 | Move Right 1
 | Left Back: 298.2042 | Left Front: 303.9323 | Front Left: 15.8466 | Front Right: 16.82415 | Right Front: 6.91145 | Move Right 1
 | Left Back: 77.39795 | Left Front: 198.7685 | Front Left: 16.1553 | Front Right: 914.5753 | Right Front: 50.81545 | Moving right 6
 | Left Back: 336.1743 | Left Front: 336.0885 | Front Left: 16.8756 | Front Right: 141.5732 | Right Front: 24.26725 | Moving right 6
 | Left Back: 1210.087 | Left Front: 359.7384 | Front Left: 18.19615 | Front Right: 1026.273 | Right Front: 147.6272 | Moving right 6
 | Left Back: 1209.95 | Left Front: 375.9623 | Front Left: 1209.778 | Front Right: 24.23295 | Right Front: 133.9415 | Moving right 5
 | Left Back: 1210.19 | Left Front: 385.875 | Front Left: 1209.898 | Front Right: 1026.205 | Right Front: 124.1146 | Stop 3 | forward_c: 1
